order_item_id,order_id,product_id,quantity,price_each
220,1088,103,4,15.0
221,1089,104,4,5.0
222,1090,104,2,5.0
223,1090,105,5,50.0
224,1091,105,1,50.0
225,1091,106,1,30.0
226,1091,102,2,10.0
227,1092,104,2,5.0
228,1093,102,2,10.0
229,1093,107,2,3.0
230,1093,105,5,50.0
231,1094,104,3,5.0
232,1094,101,3,25.0
233,1094,108,4,40.0
234,1095,106,1,30.0
235,1095,105,1,50.0
236,1096,101,1,25.0
237,1096,102,3,10.0
238,1096,107,2,3.0
239,1096,104,2,5.0
240,1097,106,4,30.0
241,1098,103,4,15.0
242,1098,101,1,25.0
243,1098,107,1,3.0
244,1099,107,5,3.0
245,1099,101,5,25.0
246,1100,103,5,15.0
247,1100,102,5,10.0
248,1101,105,4,50.0
249,1101,103,4,15.0
250,1102,108,2,40.0
251,1103,105,2,50.0
252,1103,103,3,15.0
253,1104,107,4,3.0
254,1105,106,2,30.0
255,1105,102,4,10.0
256,1105,108,1,40.0
257,1105,105,1,50.0
258,1106,102,1,10.0
259,1106,107,3,3.0
260,1107,102,2,10.0
261,1108,104,4,5.0
262,1108,105,3,50.0
263,1108,102,1,10.0
264,1109,108,5,40.0
265,1109,107,4,3.0
266,1109,104,1,5.0
267,1109,106,2,30.0
268,1110,102,5,10.0
269,1110,107,2,3.0
270,1110,105,5,50.0
271,1110,108,2,40.0
272,1111,106,4,30.0
273,1111,102,3,10.0
274,1112,103,3,15.0
275,1113,105,3,50.0
276,1113,104,5,5.0
277,1114,103,1,15.0
278,1114,104,5,5.0
279,1115,103,3,15.0
280,1115,104,3,5.0
281,1116,107,2,3.0
282,1116,104,5,5.0
283,1116,105,1,50.0
284,1116,106,5,30.0
285,1117,102,2,10.0
286,1117,103,1,15.0
287,1118,107,3,3.0
288,1118,105,3,50.0
289,1118,104,1,5.0
290,1119,108,4,40.0
291,1120,104,1,5.0
292,1120,101,3,25.0
293,1120,105,3,50.0
294,1120,108,5,40.0
295,1121,103,2,15.0
296,1121,102,5,10.0
297,1121,107,2,3.0
298,1121,104,5,5.0
299,1122,107,1,3.0
300,1122,104,4,5.0
301,1123,102,1,10.0
302,1123,108,5,40.0
303,1123,103,1,15.0
304,1124,103,5,15.0
305,1124,104,1,5.0
306,1124,105,2,50.0
307,1125,107,4,3.0
308,1126,107,3,3.0
309,1126,105,1,50.0
310,1126,106,2,30.0
311,1127,102,2,10.0
312,1128,105,3,50.0
313,1129,108,3,40.0
314,1130,108,5,40.0
315,1131,108,2,40.0
316,1131,103,3,15.0
317,1131,106,4,30.0
318,1131,107,5,3.0
319,1132,103,5,15.0
320,1133,101,4,25.0
321,1133,102,2,10.0
322,1133,106,2,30.0
323,1134,106,1,30.0
324,1134,102,3,10.0
325,1134,104,3,5.0
326,1135,102,3,10.0
327,1135,101,4,25.0
328,1136,101,2,25.0
329,1137,102,1,10.0
330,1138,105,2,50.0
331,1138,106,1,30.0
332,1138,104,3,5.0
333,1139,108,3,40.0
334,1139,104,2,5.0
335,1139,105,1,50.0
336,1139,106,1,30.0
337,1140,107,5,3.0
338,1140,102,2,10.0
339,1140,103,5,15.0
340,1141,108,3,40.0
341,1141,107,4,3.0
342,1141,103,2,15.0
343,1142,107,2,3.0
344,1143,107,4,3.0
345,1143,103,5,15.0
346,1143,104,2,5.0
347,1143,108,5,40.0
348,1144,105,3,50.0
349,1144,103,2,15.0
350,1144,108,3,40.0
351,1145,101,2,25.0
352,1145,107,2,3.0
353,1145,103,1,15.0
354,1145,106,2,30.0
355,1146,104,2,5.0
356,1146,102,4,10.0
357,1147,105,5,50.0
358,1147,101,2,25.0
359,1148,102,3,10.0
360,1148,104,5,5.0
361,1149,103,5,15.0
362,1149,101,1,25.0
363,1149,108,1,40.0
364,1150,101,4,25.0
365,1150,103,4,15.0
